batch,zipcode,threshold,current,added_exp,added_new,total,meets
batch_8,11433,3462.0,2105.0,827,600,3532.0,True
batch_8,13421,949.5,314.0,124,600,1038.0,True
batch_8,14726,502.5,0.0,0,600,600.0,True
batch_8,10075,828.3000000000001,235.0,94,800,1129.0,True
batch_8,11554,1834.47,962.0,381,500,1843.0,True
batch_8,11570,1442.1,653.0,257,600,1510.0,True
batch_8,13833,506.0,0.0,0,600,600.0,True
batch_8,11201,3227.73,1957.0,772,1400,4129.0,True
batch_8,12721,541.53,16.0,6,600,622.0,True
batch_8,11581,1296.9,562.0,218,600,1380.0,True
batch_8,10603,962.28,322.0,127,600,1049.0,True
batch_8,12308,862.5,271.0,106,500,877.0,True
batch_8,11414,1655.28,828.0,327,800,1955.0,True
batch_8,11096,992.0,349.0,136,600,1085.0,True
batch_8,12303,1466.19,670.0,260,600,1530.0,True
batch_8,12204,532.95,30.0,12,800,842.0,True
batch_8,14608,970.0,343.0,132,500,975.0,True
batch_8,13669,869.5500000000001,255.0,95,600,950.0,True
batch_8,14303,655.5,111.0,44,600,755.0,True
batch_8,12306,1334.19,585.0,227,800,1612.0,True
batch_8,12302,1422.96,662.0,257,600,1519.0,True
batch_8,14216,984.06,338.0,133,900,1371.0,True
batch_8,14472,502.92,0.0,0,600,600.0,True
batch_8,11001,1266.54,537.0,210,600,1347.0,True
batch_8,14086,1561.89,740.0,292,600,1632.0,True
batch_9,10805,792.33,238.0,92,800,1130.0,True
batch_9,10471,850.08,284.0,110,500,894.0,True
batch_9,12589,880.44,288.0,112,500,900.0,True
batch_9,13202,611.0,118.0,46,500,664.0,True
batch_9,14020,1459.5,735.0,291,500,1526.0,True
batch_9,13642,601.5,98.0,37,500,635.0,True
batch_9,11710,1881.0,1017.0,401,500,1918.0,True
batch_9,10996,450.12,0.0,0,500,500.0,True
batch_9,10013,1064.5800000000002,435.0,173,500,1108.0,True
batch_9,12189,935.22,323.0,125,500,948.0,True
batch_9,14445,458.0,0.0,0,500,500.0,True
batch_9,14103,810.5,250.0,97,500,847.0,True
batch_9,14070,596.5,84.0,33,500,617.0,True
batch_9,10037,1280.0,586.0,228,500,1314.0,True
batch_9,14464,492.5,43.0,17,500,560.0,True
batch_9,14305,1258.0,590.0,231,500,1321.0,True
batch_9,11762,1073.49,434.0,172,600,1206.0,True
batch_9,13601,3189.5,1947.0,759,600,3306.0,True
batch_9,11730,597.3000000000001,95.0,38,500,633.0,True
batch_9,12586,741.1800000000001,197.0,77,500,774.0,True
batch_9,11706,3745.5,2408.0,850,800,4058.0,True
batch_9,14051,995.94,384.0,152,500,1036.0,True
batch_9,13339,580.0,80.0,32,500,612.0,True
batch_9,11412,2694.5,1674.0,568,800,3042.0,True
batch_9,11222,1394.25,672.0,265,1200,2137.0,True
batch_11,13148,706.0,235.0,92,400,727.0,True
batch_11,10005,414.5,39.0,15,400,454.0,True
batch_11,10553,587.5,156.0,59,400,615.0,True
batch_11,10039,2344.0,1423.0,548,500,2471.0,True
batch_11,11428,1126.5,545.0,213,400,1158.0,True
batch_11,10030,2137.5,1272.0,501,400,2173.0,True
batch_11,14411,587.5,140.0,54,400,594.0,True
batch_11,12307,764.5,284.0,107,400,791.0,True
batch_11,11949,562.32,129.0,51,400,580.0,True
batch_11,12019,692.6700000000001,244.0,93,400,737.0,True
batch_11,13211,478.0,76.0,29,400,505.0,True
batch_11,12966,357.0,0.0,0,400,400.0,True
batch_11,14004,573.21,155.0,61,400,616.0,True
batch_11,14217,945.78,401.0,158,400,959.0,True
batch_11,10918,601.59,166.0,66,500,732.0,True
batch_11,10923,612.8100000000001,171.0,66,500,737.0,True
batch_11,12822,461.5,60.0,23,400,483.0,True
batch_11,12533,1533.84,830.0,327,400,1557.0,True
batch_11,11561,1287.3300000000002,654.0,257,500,1411.0,True
batch_11,14622,565.95,129.0,49,400,578.0,True
batch_11,13165,672.5,218.0,84,400,702.0,True
batch_11,11961,525.36,98.0,38,400,536.0,True
batch_11,13332,383.5,8.0,3,400,411.0,True
batch_11,11105,1538.79,830.0,330,600,1760.0,True
batch_11,11751,541.2,122.0,47,400,569.0,True
batch_13,14136,306.5,16.0,6,400,422.0,True
batch_13,13037,508.53,163.0,62,400,625.0,True
batch_13,13143,269.0,0.0,0,400,400.0,True
batch_13,12887,407.0,71.0,27,400,498.0,True
batch_13,12211,582.12,221.0,85,400,706.0,True
batch_13,11590,2490.51,1737.0,437,1000,3174.0,True
batch_13,13460,361.5,56.0,21,400,477.0,True
batch_13,12188,487.41,146.0,57,400,603.0,True
batch_13,11231,2280.63,1462.0,534,800,2796.0,True
batch_13,12570,385.44,72.0,28,400,500.0,True
batch_13,11103,1032.24,524.0,206,600,1330.0,True
batch_13,12540,554.4,187.0,74,400,661.0,True
batch_13,11023,783.75,355.0,141,400,896.0,True
batch_13,13340,393.36,72.0,28,400,500.0,True
batch_13,13760,2058.87,1258.0,495,400,2153.0,True
batch_13,13140,280.5,0.0,0,400,400.0,True
batch_13,11713,581.5,213.0,83,400,696.0,True
batch_13,12009,403.92,88.0,34,400,522.0,True
batch_13,14042,340.5,39.0,15,400,454.0,True
batch_13,11704,1655.94,972.0,375,400,1747.0,True
batch_13,11778,729.96,305.0,121,400,826.0,True
batch_13,10927,1136.0,619.0,243,400,1262.0,True
batch_13,12953,764.5,343.0,133,400,876.0,True
batch_13,11804,277.53000000000003,0.0,0,400,400.0,True
batch_13,14219,531.5,179.0,70,400,649.0,True
batch_14,13676,600.6,242.0,95,400,737.0,True
batch_14,13074,318.5,40.0,15,400,455.0,True
batch_14,12090,364.65,76.0,30,400,506.0,True
batch_14,13667,247.0,0.0,0,400,400.0,True
batch_14,14521,262.0,8.0,3,400,411.0,True
batch_14,13407,339.0,67.0,26,400,493.0,True
batch_14,12944,286.0,18.0,7,400,425.0,True
batch_14,13439,287.0,15.0,6,400,421.0,True
batch_14,14201,1091.5,596.0,236,400,1232.0,True
batch_14,11701,1213.41,675.0,260,400,1335.0,True
batch_14,14012,259.0,8.0,3,400,411.0,True
batch_14,11968,569.25,223.0,89,400,712.0,True
batch_14,14105,276.54,8.0,3,400,411.0,True
batch_14,11697,265.5,0.0,0,400,400.0,True
batch_14,14108,322.08000000000004,46.0,18,400,464.0,True
batch_14,10018,257.0,0.0,0,400,400.0,True
batch_14,10990,817.4100000000001,406.0,159,400,965.0,True
batch_14,13471,257.5,0.0,0,400,400.0,True
batch_14,12018,359.7,68.0,26,400,494.0,True
batch_14,12759,252.5,0.0,0,400,400.0,True
batch_14,14062,268.0,0.0,0,400,400.0,True
batch_14,10594,308.22,32.0,12,400,444.0,True
batch_14,11228,1946.01,1212.0,481,400,2093.0,True
batch_14,13032,561.33,222.0,85,400,707.0,True
batch_14,10506,376.2000000000001,80.0,31,400,511.0,True
batch_15,13082,240.5,0.0,0,400,400.0,True
batch_15,13493,230.5,0.0,0,400,400.0,True
batch_15,13350,418.0,135.0,53,400,588.0,True
batch_15,13827,564.3000000000001,242.0,95,400,737.0,True
batch_15,14727,379.5,108.0,41,400,549.0,True
batch_15,12027,242.22,8.0,3,400,411.0,True
batch_15,12077,345.18,83.0,33,400,516.0,True
batch_15,14222,513.15,201.0,80,500,781.0,True
batch_15,11782,802.89,399.0,157,400,956.0,True
batch_15,13856,409.0,127.0,49,400,576.0,True
batch_15,13456,256.41,16.0,6,400,422.0,True
batch_15,13733,292.0,33.0,12,400,445.0,True
batch_15,13830,357.0,85.0,32,400,517.0,True
batch_15,11963,382.47,108.0,43,400,551.0,True
batch_15,11369,2116.0,1444.0,418,800,2662.0,True
batch_15,14526,1091.31,617.0,245,400,1262.0,True
batch_15,12972,367.9500000000001,88.0,34,400,522.0,True
batch_15,13041,653.07,302.0,118,400,820.0,True
batch_15,13073,390.72,107.0,41,400,548.0,True
batch_15,12779,233.5,0.0,0,400,400.0,True
batch_15,12118,759.6600000000001,376.0,149,400,925.0,True
batch_15,13030,253.44,16.0,6,400,422.0,True
batch_15,13329,264.0,26.0,10,400,436.0,True
batch_15,12833,253.77,16.0,6,400,422.0,True
batch_15,12144,960.3,518.0,204,400,1122.0,True
batch_17,10019,1015.0,591.0,232,200,1023.0,True
batch_17,10536,631.62,315.0,125,200,640.0,True
batch_17,11718,198.0,0.0,0,200,200.0,True
batch_17,10570,635.58,316.0,125,200,641.0,True
batch_17,11715,254.0,40.0,16,200,256.0,True
batch_17,12569,467.28,196.0,77,200,473.0,True
batch_17,13619,832.5,463.0,183,200,846.0,True
batch_17,13092,201.63,8.0,3,200,211.0,True
batch_17,12992,219.0,16.0,6,200,222.0,True
batch_17,11795,1181.4,706.0,281,200,1187.0,True
batch_17,13732,362.01,126.0,49,200,375.0,True
batch_17,13413,714.45,374.0,147,200,721.0,True
batch_17,13142,245.52,40.0,15,200,255.0,True
batch_17,13111,192.0,0.0,0,200,200.0,True
batch_17,13637,446.0,187.0,72,200,459.0,True
batch_17,14009,363.0,122.0,47,200,369.0,True
batch_17,13797,193.5,0.0,0,200,200.0,True
batch_17,14031,359.04,123.0,47,200,370.0,True
batch_17,12865,226.5,24.0,9,200,233.0,True
batch_17,12866,1281.0600000000002,775.0,303,400,1478.0,True
batch_17,12095,870.0,482.0,190,200,872.0,True
batch_17,12072,189.09,0.0,0,200,200.0,True
batch_17,12564,388.74,142.0,56,200,398.0,True
batch_17,14081,185.0,0.0,0,200,200.0,True
batch_17,13656,398.0,149.0,59,200,408.0,True
batch_19,10998,215.82,43.0,17,200,260.0,True
batch_19,13849,227.5,52.0,20,200,272.0,True
batch_19,14747,182.0,15.0,5,200,220.0,True
batch_19,13730,175.0,8.0,3,200,211.0,True
batch_19,10980,651.75,349.0,136,200,685.0,True
batch_19,11693,626.34,328.0,129,200,657.0,True
batch_19,14139,163.68,0.0,0,200,200.0,True
batch_19,13485,161.5,0.0,0,200,200.0,True
batch_19,13680,167.5,0.0,0,200,200.0,True
batch_19,12747,166.0,8.0,3,200,211.0,True
batch_19,12015,157.74,0.0,0,200,200.0,True
batch_19,11709,239.58,52.0,20,200,272.0,True
batch_19,11740,537.24,272.0,108,200,580.0,True
batch_19,14067,259.0,72.0,28,200,300.0,True
batch_19,14772,318.0,108.0,42,200,350.0,True
batch_19,13655,315.0,113.0,44,200,357.0,True
batch_19,13865,267.96000000000004,76.0,30,400,506.0,True
batch_19,12871,190.74,24.0,9,200,233.0,True
batch_19,11790,582.45,296.0,117,200,613.0,True
batch_19,11694,1214.4,752.0,298,200,1250.0,True
batch_19,13084,234.0,56.0,22,200,278.0,True
batch_19,10524,180.18,16.0,6,200,222.0,True
batch_19,13492,502.92,246.0,97,200,543.0,True
batch_19,11732,161.04000000000002,0.0,0,200,200.0,True
batch_19,13660,180.0,16.0,6,200,222.0,True
batch_20,14091,162.0,8.0,3,200,211.0,True
batch_20,13654,218.0,48.0,18,200,266.0,True
batch_20,14806,169.0,16.0,6,200,222.0,True
batch_20,13825,169.0,16.0,6,200,222.0,True
batch_20,13787,237.0,63.0,24,200,287.0,True
batch_20,13813,151.0,0.0,0,200,200.0,True
batch_20,12789,175.5,16.0,6,200,222.0,True
batch_20,13476,150.15,0.0,0,200,200.0,True
batch_20,14065,151.5,0.0,0,200,200.0,True
batch_20,13135,372.9,158.0,62,400,620.0,True
batch_20,10065,1332.21,845.0,335,800,1980.0,True
batch_20,12926,198.0,32.0,12,200,244.0,True
batch_20,12159,314.16,118.0,47,200,365.0,True
batch_20,13634,205.26,41.0,15,200,256.0,True
batch_20,14013,153.5,0.0,0,200,200.0,True
batch_20,14516,148.17000000000002,0.0,0,200,200.0,True
batch_20,12543,147.18,0.0,0,200,200.0,True
batch_20,11937,1019.7,623.0,249,400,1272.0,True
batch_20,10537,149.82,0.0,0,200,200.0,True
batch_20,12828,550.5,288.0,114,200,602.0,True
batch_20,14623,990.5,599.0,237,200,1036.0,True
batch_20,14422,150.0,0.0,0,200,200.0,True
batch_20,12834,269.61,84.0,32,200,316.0,True
batch_20,11763,1464.54,939.0,371,200,1510.0,True
batch_20,13748,148.17000000000002,0.0,0,200,200.0,True
batch_23,14080,203.94,107.0,42,100,249.0,True
batch_23,12526,78.87,8.0,3,100,111.0,True
batch_23,12106,71.94,0.0,0,100,100.0,True
batch_23,12092,59.73,0.0,0,100,100.0,True
batch_23,14092,307.89,177.0,70,100,347.0,True
batch_23,10546,65.5,0.0,0,100,100.0,True
batch_23,13152,358.38,210.0,83,100,393.0,True
batch_23,11764,577.83,368.0,145,100,613.0,True
batch_23,13844,60.0,0.0,0,100,100.0,True
batch_23,13650,65.01,0.0,0,100,100.0,True
batch_23,14418,66.33,0.0,0,100,100.0,True
batch_23,13411,169.0,81.0,31,100,212.0,True
batch_23,12168,72.60000000000001,0.0,0,100,100.0,True
batch_23,12148,166.32000000000002,68.0,27,100,195.0,True
batch_23,13028,55.5,0.0,0,100,100.0,True
batch_23,13318,77.5,8.0,3,100,111.0,True
batch_23,12816,178.53,84.0,33,100,217.0,True
batch_23,12456,68.0,0.0,0,100,100.0,True
batch_23,12423,62.5,0.0,0,100,100.0,True
batch_23,13613,163.5,74.0,28,100,202.0,True
batch_23,10976,59.73,0.0,0,100,100.0,True
batch_23,12430,67.98,0.0,0,100,100.0,True
batch_23,12529,69.63000000000001,0.0,0,100,100.0,True
batch_23,13624,145.53,62.0,24,100,186.0,True
batch_23,12134,165.33,80.0,32,100,212.0,True
batch_23,13461,151.47,68.0,26,100,194.0,True
batch_23,10710,1131.5700000000002,757.0,298,100,1155.0,True
batch_23,12878,60.5,0.0,0,100,100.0,True
batch_23,12468,60.0,0.0,0,100,100.0,True
batch_23,14028,55.440000000000005,0.0,0,100,100.0,True
batch_23,12070,72.93,0.0,0,100,100.0,True
batch_23,13343,73.59,16.0,6,100,122.0,True
batch_23,12185,67.65,0.0,0,100,100.0,True
batch_23,11575,1873.5,1386.0,422,400,2208.0,True
batch_23,12116,66.33,8.0,3,100,111.0,True
batch_23,13324,70.5,0.0,0,100,100.0,True
batch_23,13060,146.85,61.0,23,100,184.0,True
batch_23,12404,178.20000000000002,80.0,32,100,212.0,True
batch_23,10965,925.32,615.0,241,100,956.0,True
batch_23,13322,54.120000000000005,0.0,0,100,100.0,True
batch_23,12920,129.69,44.0,17,100,161.0,True
batch_23,11940,284.13,151.0,60,100,311.0,True
batch_23,12726,77.22,8.0,3,100,111.0,True
batch_23,12083,226.71,123.0,48,100,271.0,True
batch_23,12603,1810.38,1281.0,451,400,2132.0,True
batch_23,13328,69.96000000000001,0.0,0,100,100.0,True
batch_23,10589,355.0,210.0,83,100,393.0,True
batch_23,12921,196.35,97.0,38,200,335.0,True
batch_23,14416,163.68,80.0,31,100,211.0,True
batch_23,12130,63.0,0.0,0,100,100.0,True
batch_23,12125,56.5,0.0,0,100,100.0,True
batch_23,12156,55.77,0.0,0,100,100.0,True
batch_23,12470,54.5,0.0,0,100,100.0,True
batch_23,13431,94.05,24.0,9,100,133.0,True
batch_23,12548,65.0,0.0,0,100,100.0,True
batch_23,12843,63.0,0.0,0,100,100.0,True
batch_23,13690,68.0,0.0,0,100,100.0,True
batch_23,12837,60.5,0.0,0,100,100.0,True
batch_23,13841,59.5,0.0,0,100,100.0,True
batch_23,10583,2542.98,1776.0,704,100,2580.0,True
batch_23,11976,70.29,0.0,0,100,100.0,True
batch_23,12498,116.16,44.0,17,100,161.0,True
batch_23,11777,409.53,248.0,98,100,446.0,True
batch_23,12502,65.34,0.0,0,100,100.0,True
batch_23,13665,59.0,0.0,0,100,100.0,True
batch_23,14564,806.85,526.0,209,100,835.0,True
batch_23,13044,166.98000000000002,79.0,31,100,210.0,True
batch_23,11363,368.94,226.0,88,100,414.0,True
batch_23,12835,60.39,0.0,0,100,100.0,True
batch_23,12567,69.96000000000001,0.0,0,100,100.0,True
batch_23,12153,57.0,0.0,0,100,100.0,True
batch_23,12067,75.57000000000001,16.0,6,100,122.0,True
batch_23,12838,52.0,0.0,0,100,100.0,True
batch_23,12863,67.65,0.0,0,100,100.0,True
batch_23,10597,57.5,0.0,0,100,100.0,True
batch_23,10282,441.54,279.0,111,100,490.0,True
batch_23,13608,133.0,50.0,19,100,169.0,True
batch_23,12151,65.0,8.0,3,100,111.0,True
batch_23,13348,69.96000000000001,8.0,3,100,111.0,True
batch_23,13355,78.5,8.0,3,100,111.0,True
batch_23,14059,537.57,339.0,133,200,672.0,True
batch_23,12515,56.1,0.0,0,100,100.0,True
batch_23,12431,82.83,8.0,3,100,111.0,True
batch_23,12057,79.53,16.0,6,100,122.0,True
batch_23,12184,335.28000000000003,189.0,73,100,362.0,True
batch_23,10162,53.46,0.0,0,200,200.0,True
batch_23,13026,52.470000000000006,0.0,0,100,100.0,True
batch_23,12440,66.5,0.0,0,100,100.0,True
batch_23,13801,65.0,0.0,0,100,100.0,True
batch_23,13158,57.0,0.0,0,100,100.0,True
batch_23,12912,116.5,44.0,17,100,161.0,True
batch_23,13746,72.93,8.0,3,100,111.0,True
batch_23,11705,371.58,218.0,85,100,403.0,True
batch_23,12776,68.64,0.0,0,100,100.0,True
batch_23,12783,57.75,0.0,0,100,100.0,True
batch_23,13612,108.9,36.0,14,100,150.0,True
batch_23,13864,72.5,8.0,3,100,111.0,True
batch_23,12935,101.5,34.0,13,100,147.0,True
batch_23,13334,57.5,0.0,0,100,100.0,True
batch_23,13156,69.63000000000001,0.0,0,100,100.0,True
batch_24,13081,49.5,0.0,0,100,100.0,True
batch_24,14026,32.5,0.0,0,100,100.0,True
batch_24,13141,38.61,0.0,0,100,100.0,True
batch_24,13755,45.0,0.0,0,100,100.0,True
batch_24,12060,47.190000000000005,0.0,0,100,100.0,True
batch_24,12087,48.84,0.0,0,100,100.0,True
batch_24,12945,43.5,0.0,0,100,100.0,True
batch_24,12461,59.5,16.0,6,100,122.0,True
batch_24,13685,71.61,20.0,8,100,128.0,True
batch_24,13607,46.2,0.0,0,100,100.0,True
batch_24,12778,39.5,0.0,0,100,100.0,True
batch_24,13159,241.23,146.0,57,100,303.0,True
batch_24,13406,46.5,0.0,0,100,100.0,True
batch_24,13072,46.0,0.0,0,100,100.0,True
batch_24,12093,58.5,16.0,6,100,122.0,True
batch_24,13638,49.5,0.0,0,100,100.0,True
batch_24,12058,50.5,0.0,0,100,100.0,True
batch_24,12008,46.5,0.0,0,100,100.0,True
batch_24,14055,37.620000000000005,0.0,0,100,100.0,True
batch_24,11211,3483.15,2453.0,972,800,4225.0,True
batch_24,14040,109.89,53.0,21,100,174.0,True
batch_24,12059,50.82,0.0,0,100,100.0,True
batch_24,13807,53.46,8.0,3,100,111.0,True
batch_24,12823,34.980000000000004,0.0,0,100,100.0,True
batch_24,10501,47.190000000000005,0.0,0,100,100.0,True
batch_24,13483,38.0,0.0,0,100,100.0,True
batch_24,14102,51.150000000000006,0.0,0,100,100.0,True
batch_24,12028,67.65,16.0,6,100,122.0,True
batch_24,13368,94.0,38.0,15,100,153.0,True
batch_24,12409,38.940000000000005,0.0,0,100,100.0,True
batch_24,12989,38.61,0.0,0,100,100.0,True
batch_24,10507,340.56,220.0,87,100,407.0,True
batch_24,10992,552.4200000000001,360.0,141,100,601.0,True
batch_24,12496,44.55,0.0,0,100,100.0,True
batch_24,13402,62.0,10.0,4,100,114.0,True
batch_24,12998,44.0,0.0,0,100,100.0,True
batch_24,14729,36.3,0.0,0,100,100.0,True
batch_24,13796,60.0,8.0,3,100,111.0,True
batch_24,10924,642.84,435.0,171,100,706.0,True
batch_24,13752,35.97,0.0,0,100,100.0,True
batch_24,13757,50.49,8.0,3,100,111.0,True
batch_24,12046,35.0,0.0,0,100,100.0,True
batch_24,13751,45.0,8.0,3,100,111.0,True
batch_24,13486,39.6,0.0,0,100,100.0,True
batch_24,13633,39.0,0.0,0,100,100.0,True
batch_24,13136,38.5,0.0,0,100,100.0,True
batch_24,12516,33.33,0.0,0,100,100.0,True
batch_24,12419,48.84,8.0,3,100,111.0,True
batch_24,12076,46.2,0.0,0,100,100.0,True
batch_24,12575,75.0,24.0,9,100,133.0,True
batch_24,12956,65.0,20.0,8,100,128.0,True
batch_24,13788,42.5,0.0,0,100,100.0,True
batch_24,14037,39.0,0.0,0,100,100.0,True
batch_24,12485,78.87,29.0,11,100,140.0,True
batch_24,13071,54.120000000000005,16.0,6,100,122.0,True
batch_24,14477,43.23,0.0,0,100,100.0,True
batch_24,14740,38.940000000000005,0.0,0,100,100.0,True
batch_24,11958,44.22,0.0,0,100,100.0,True
batch_24,12433,43.89,0.0,0,100,100.0,True
batch_24,12414,341.55,216.0,85,200,501.0,True
batch_24,12150,33.5,0.0,0,100,100.0,True
batch_24,11702,570.9,373.0,146,200,719.0,True
batch_24,12175,43.89,0.0,0,100,100.0,True
batch_24,13470,47.0,0.0,0,100,100.0,True
batch_24,13469,40.59,0.0,0,100,100.0,True
batch_24,12996,97.5,35.0,14,100,149.0,True
batch_24,12457,54.120000000000005,16.0,6,100,122.0,True
batch_24,12810,35.0,0.0,0,100,100.0,True
batch_24,12764,58.41,8.0,3,100,111.0,True
batch_24,13361,33.5,0.0,0,100,100.0,True
batch_24,12143,195.69,116.0,45,100,261.0,True
batch_24,12986,226.71,128.0,49,100,277.0,True
batch_24,12914,65.5,16.0,6,100,122.0,True
batch_24,14505,247.83,148.0,59,100,307.0,True
batch_24,12473,38.5,0.0,0,100,100.0,True
batch_24,12952,40.5,0.0,0,100,100.0,True
batch_24,12775,94.71,41.0,16,100,157.0,True
batch_24,14145,76.0,32.0,12,100,144.0,True
batch_24,14069,50.0,0.0,0,100,100.0,True
batch_24,13145,140.5,66.0,26,100,192.0,True
batch_24,12472,46.0,0.0,0,100,100.0,True
batch_24,12748,53.79,8.0,3,100,111.0,True
batch_24,12804,1108.14,766.0,303,100,1169.0,True
batch_24,13617,399.63,259.0,101,100,460.0,True
batch_24,13147,40.260000000000005,0.0,0,100,100.0,True
batch_24,12577,65.0,16.0,6,100,122.0,True
batch_24,14138,134.0,66.0,26,100,192.0,True
batch_24,14082,47.190000000000005,8.0,3,100,111.0,True
batch_24,12062,48.510000000000005,0.0,0,100,100.0,True
batch_24,12765,37.620000000000005,0.0,0,100,100.0,True
batch_24,13454,36.0,0.0,0,100,100.0,True
batch_24,12169,34.32,0.0,0,100,100.0,True
batch_24,12980,32.0,0.0,0,100,100.0,True
batch_24,13808,66.66,17.0,6,100,123.0,True
batch_24,14127,1495.89,1041.0,412,100,1553.0,True
batch_24,12451,48.5,8.0,3,100,111.0,True
batch_24,12824,32.67,0.0,0,100,100.0,True
batch_24,12873,34.32,0.0,0,100,100.0,True
batch_24,12941,60.720000000000006,16.0,6,100,122.0,True
batch_24,12815,37.29,0.0,0,100,100.0,True
batch_25,13659,23.0,0.0,0,100,100.0,True
batch_25,13155,35.5,10.0,4,100,114.0,True
batch_25,10975,30.0,0.0,0,100,100.0,True
batch_25,12528,551.1,374.0,146,100,620.0,True
batch_25,13846,15.510000000000002,0.0,0,100,100.0,True
batch_25,12147,15.5,0.0,0,100,100.0,True
batch_25,13648,87.12,44.0,17,100,161.0,True
batch_25,14805,33.5,8.0,3,100,111.0,True
batch_25,13777,16.5,0.0,0,100,100.0,True
batch_25,13303,41.25,8.0,3,100,111.0,True
batch_25,12463,41.25,12.0,4,100,116.0,True
batch_25,13691,163.68,100.0,39,100,239.0,True
batch_25,12123,240.57,160.0,63,100,323.0,True
batch_25,13832,31.5,0.0,0,100,100.0,True
batch_25,13614,31.0,0.0,0,100,100.0,True
batch_25,12997,27.39,0.0,0,100,100.0,True
batch_25,12063,18.15,0.0,0,100,100.0,True
batch_25,12454,31.020000000000003,0.0,0,100,100.0,True
batch_25,12186,228.36,146.0,58,100,304.0,True
batch_25,12847,22.44,0.0,0,100,100.0,True
batch_25,13310,20.0,0.0,0,100,100.0,True
batch_25,12870,56.760000000000005,30.0,12,100,142.0,True
batch_25,12768,15.84,0.0,0,100,100.0,True
batch_25,13731,27.39,0.0,0,100,100.0,True
batch_25,12923,37.0,16.0,6,100,122.0,True
batch_25,12517,16.5,0.0,0,100,100.0,True
batch_25,14005,106.59,55.0,22,100,177.0,True
batch_25,12435,18.0,0.0,0,100,100.0,True
batch_25,13756,30.5,0.0,0,100,100.0,True
batch_25,12857,25.0,0.0,0,100,100.0,True
batch_25,13450,19.5,0.0,0,100,100.0,True
batch_25,13687,21.12,0.0,0,100,100.0,True
batch_25,13861,23.0,0.0,0,100,100.0,True
batch_25,12542,257.40000000000003,167.0,66,100,333.0,True
batch_25,12965,20.5,0.0,0,100,100.0,True
batch_25,12029,18.15,0.0,0,100,100.0,True
batch_25,12411,22.0,0.0,0,100,100.0,True
batch_25,12442,18.0,0.0,0,100,100.0,True
batch_25,12851,23.0,0.0,0,100,100.0,True
batch_25,13367,384.78,261.0,101,100,462.0,True
batch_25,12160,34.32,8.0,3,100,111.0,True
batch_25,12071,16.0,0.0,0,100,100.0,True
batch_25,13408,141.5,89.0,35,100,224.0,True
batch_25,12860,27.5,0.0,0,100,100.0,True
batch_25,13636,25.5,0.0,0,100,100.0,True
batch_25,12983,302.94,201.0,78,100,379.0,True
batch_25,12861,29.700000000000003,0.0,0,100,100.0,True
batch_25,12790,185.13,114.0,44,100,258.0,True
batch_25,12035,24.0,0.0,0,100,100.0,True
batch_25,10518,26.0,0.0,0,100,100.0,True
batch_25,10548,194.37,121.0,48,100,269.0,True
batch_25,13337,18.0,0.0,0,100,100.0,True
batch_25,14113,30.360000000000003,0.0,0,100,100.0,True
batch_25,13802,53.13,20.0,8,100,128.0,True
batch_25,11724,199.32,128.0,50,100,278.0,True
batch_25,12777,24.75,0.0,0,100,100.0,True
batch_25,12036,24.0,0.0,0,100,100.0,True
batch_25,13315,72.27000000000001,38.0,15,100,153.0,True
batch_25,12469,16.17,0.0,0,100,100.0,True
batch_25,10963,189.75,124.0,48,100,272.0,True
batch_25,12494,27.72,0.0,0,100,100.0,True
batch_25,12120,25.08,8.0,3,100,111.0,True
batch_25,12474,30.0,0.0,0,100,100.0,True
batch_25,13489,18.15,0.0,0,100,100.0,True
batch_25,12022,57.75,20.0,8,100,128.0,True
